county,county_code,eligible_voters,total_votes,Bochniarz,Borowski,Bubel,Ilasz,Kaczynski,Kalinowski,Korwin-Mikke,Lepper,Pyszko,Slomka,Tusk,Tyminski
bolesławiecki,20100.0,70054.0,30705.0,422.0,3699.0,35.0,63.0,8817.0,373.0,414.0,4568.0,25.0,18.0,12214.0,57.0
dzierżoniowski,20200.0,88429.0,39731.0,498.0,4399.0,45.0,124.0,11364.0,379.0,566.0,6624.0,28.0,21.0,15592.0,91.0
głogowski,20300.0,71624.0,34729.0,499.0,4833.0,59.0,93.0,11048.0,343.0,535.0,4931.0,21.0,11.0,12310.0,46.0
górowski,20400.0,28521.0,11771.0,135.0,1124.0,16.0,24.0,2940.0,263.0,129.0,3557.0,3.0,6.0,3553.0,21.0
jaworski,20500.0,42594.0,18463.0,244.0,1784.0,30.0,56.0,5223.0,332.0,218.0,4029.0,17.0,8.0,6483.0,39.0
jeleniogórski,20600.0,52833.0,23673.0,329.0,2540.0,41.0,74.0,5535.0,287.0,387.0,2949.0,28.0,15.0,11430.0,58.0
kamiennogórski,20700.0,37948.0,16608.0,198.0,1817.0,20.0,50.0,4514.0,198.0,185.0,2828.0,9.0,7.0,6738.0,44.0
kłodzki,20800.0,140770.0,62175.0,660.0,6402.0,59.0,167.0,17810.0,969.0,806.0,9242.0,54.0,34.0,25860.0,112.0
legnicki,20900.0,41890.0,18075.0,215.0,1664.0,22.0,58.0,4876.0,413.0,174.0,4658.0,16.0,9.0,5938.0,32.0
lubański,21000.0,47152.0,20722.0,251.0,2431.0,23.0,71.0,5699.0,239.0,224.0,3684.0,15.0,15.0,8010.0,60.0
lubiński,21100.0,85833.0,40848.0,549.0,5532.0,56.0,94.0,14164.0,342.0,649.0,4888.0,25.0,16.0,14488.0,45.0
lwówecki,21200.0,38775.0,15584.0,200.0,1433.0,23.0,51.0,4255.0,299.0,220.0,3211.0,15.0,14.0,5823.0,40.0
milicki,21300.0,28956.0,13201.0,171.0,1426.0,14.0,36.0,3417.0,320.0,163.0,3399.0,14.0,5.0,4217.0,19.0
oleśnicki,21400.0,81091.0,36917.0,467.0,4223.0,52.0,107.0,10354.0,562.0,504.0,6297.0,20.0,43.0,14225.0,63.0
oławski,21500.0,56832.0,28107.0,302.0,2451.0,27.0,69.0,10028.0,346.0,370.0,3508.0,17.0,12.0,10934.0,43.0
polkowicki,21600.0,47246.0,21401.0,249.0,2523.0,22.0,47.0,6963.0,317.0,317.0,4156.0,7.0,10.0,6746.0,44.0
strzeliński,21700.0,36372.0,16417.0,161.0,1448.0,15.0,37.0,5051.0,335.0,142.0,3808.0,6.0,7.0,5392.0,15.0
średzki,21800.0,38706.0,15727.0,169.0,1446.0,15.0,20.0,4579.0,546.0,214.0,2869.0,239.0,11.0,5328.0,291.0
świdnicki,21900.0,130943.0,59715.0,777.0,7080.0,64.0,158.0,18153.0,553.0,939.0,8396.0,42.0,25.0,23420.0,108.0
trzebnicki,22000.0,60376.0,26754.0,293.0,2158.0,17.0,46.0,7936.0,444.0,398.0,5136.0,20.0,11.0,10257.0,38.0
wałbrzyski,22100.0,153707.0,67330.0,990.0,11189.0,70.0,140.0,17268.0,482.0,892.0,7724.0,32.0,41.0,28401.0,101.0
wołowski,22200.0,39553.0,17796.0,200.0,1696.0,18.0,31.0,5183.0,206.0,255.0,3081.0,10.0,15.0,7063.0,38.0
wrocławski,22300.0,77365.0,37179.0,441.0,2614.0,35.0,71.0,12466.0,584.0,583.0,5803.0,16.0,22.0,14501.0,43.0
ząbkowicki,22400.0,56237.0,24557.0,272.0,2433.0,23.0,84.0,6815.0,521.0,294.0,5677.0,22.0,14.0,8365.0,37.0
zgorzelecki,22500.0,77188.0,34635.0,419.0,4067.0,71.0,95.0,9560.0,274.0,556.0,4328.0,22.0,27.0,15162.0,54.0
złotoryjski,22600.0,36939.0,16010.0,206.0,1814.0,19.0,55.0,4225.0,275.0,212.0,3612.0,9.0,7.0,5553.0,23.0
Jelenia Góra,26101.0,71574.0,36123.0,583.0,5077.0,42.0,82.0,9054.0,511.0,672.0,2725.0,100.0,16.0,17217.0,44.0
Legnica,26201.0,83456.0,40726.0,621.0,5674.0,34.0,78.0,12648.0,265.0,603.0,4483.0,32.0,17.0,16207.0,64.0
Wrocław,26401.0,511401.0,289998.0,4484.0,33253.0,296.0,371.0,91995.0,1390.0,5947.0,12568.0,149.0,109.0,139196.0,240.0
aleksandrowski,40100.0,44962.0,20751.0,237.0,2535.0,33.0,43.0,5441.0,544.0,177.0,5913.0,17.0,17.0,5761.0,33.0
brodnicki,40200.0,58129.0,26524.0,268.0,2438.0,46.0,66.0,7359.0,742.0,179.0,8434.0,18.0,15.0,6911.0,48.0
bydgoski,40300.0,71381.0,32405.0,606.0,4313.0,29.0,97.0,9118.0,488.0,411.0,6122.0,23.0,28.0,11115.0,55.0
chełmiński,40400.0,40078.0,16887.0,189.0,2212.0,15.0,43.0,4273.0,397.0,139.0,4719.0,16.0,11.0,4831.0,42.0
golubsko-dobrzyński,40500.0,34393.0,14583.0,136.0,1253.0,17.0,46.0,3873.0,441.0,105.0,5195.0,9.0,11.0,3466.0,31.0
grudziądzki,40600.0,29724.0,12103.0,139.0,1005.0,16.0,28.0,2456.0,368.0,71.0,5184.0,11.0,4.0,2789.0,32.0
inowrocławski,40700.0,132362.0,59300.0,894.0,10210.0,68.0,133.0,13856.0,1199.0,642.0,14238.0,44.0,37.0,17853.0,126.0
lipnowski,40800.0,51315.0,20220.0,150.0,1715.0,21.0,55.0,5393.0,730.0,147.0,7466.0,12.0,10.0,4491.0,30.0
mogileński,40900.0,36619.0,16332.0,209.0,2017.0,15.0,53.0,4402.0,596.0,150.0,4890.0,10.0,14.0,3940.0,36.0
nakielski,41000.0,66385.0,30542.0,409.0,4313.0,33.0,67.0,7993.0,632.0,318.0,6480.0,17.0,16.0,10206.0,58.0
radziejowski,41100.0,34286.0,14138.0,129.0,1418.0,13.0,39.0,2804.0,486.0,113.0,6637.0,7.0,3.0,2418.0,71.0
rypiński,41200.0,35049.0,13572.0,107.0,1217.0,13.0,30.0,3980.0,447.0,87.0,4292.0,7.0,6.0,3353.0,33.0
sępoleński,41300.0,31775.0,14306.0,194.0,1683.0,14.0,44.0,3401.0,359.0,95.0,4698.0,12.0,11.0,3767.0,28.0
świecki,41400.0,76567.0,33706.0,526.0,3833.0,39.0,107.0,8221.0,650.0,276.0,8961.0,34.0,20.0,10958.0,81.0
toruński,41500.0,65949.0,27847.0,315.0,2509.0,30.0,68.0,8960.0,559.0,274.0,6644.0,14.0,14.0,8415.0,45.0
tucholski,41600.0,36115.0,17660.0,221.0,1901.0,29.0,36.0,4905.0,420.0,168.0,4984.0,11.0,19.0,4919.0,47.0
wąbrzeski,41700.0,27396.0,11572.0,123.0,1127.0,12.0,25.0,2213.0,306.0,133.0,4183.0,9.0,8.0,3412.0,21.0
włocławski,41800.0,67633.0,26782.0,235.0,2369.0,22.0,81.0,5365.0,951.0,180.0,12230.0,12.0,19.0,5272.0,46.0
żniński,41900.0,54950.0,25321.0,336.0,3270.0,44.0,71.0,5738.0,646.0,236.0,7921.0,19.0,17.0,6940.0,83.0
Bydgoszcz,46101.0,297207.0,162617.0,2932.0,28917.0,178.0,305.0,52604.0,922.0,2373.0,12055.0,72.0,70.0,62040.0,149.0
Grudziądz,46201.0,80254.0,37487.0,486.0,6430.0,52.0,83.0,8984.0,269.0,442.0,5605.0,23.0,29.0,15009.0,75.0
Toruń,46301.0,163237.0,88588.0,1486.0,11575.0,60.0,150.0,30216.0,465.0,1258.0,5704.0,41.0,26.0,37509.0,98.0
Włocławek,46401.0,96938.0,47030.0,770.0,8359.0,57.0,122.0,12326.0,362.0,564.0,7343.0,30.0,23.0,16988.0,86.0
bialski,60100.0,88910.0,42339.0,393.0,2419.0,111.0,143.0,14523.0,2318.0,380.0,13818.0,29.0,21.0,8106.0,78.0
biłgorajski,60200.0,82082.0,39441.0,254.0,2082.0,67.0,85.0,14643.0,1871.0,397.0,13500.0,20.0,25.0,6431.0,66.0
chełmski,60300.0,58405.0,23589.0,162.0,1233.0,42.0,55.0,6642.0,1052.0,185.0,9920.0,18.0,15.0,4212.0,53.0
hrubieszowski,60400.0,57898.0,25151.0,182.0,1810.0,40.0,56.0,7094.0,1236.0,265.0,10120.0,16.0,16.0,4261.0,55.0
janowski,60500.0,38224.0,20544.0,84.0,731.0,59.0,38.0,9939.0,805.0,178.0,6630.0,9.0,11.0,2024.0,36.0
krasnostawski,60600.0,62919.0,27268.0,248.0,1844.0,39.0,58.0,7283.0,1421.0,336.0,10614.0,168.0,25.0,5189.0,43.0
kraśnicki,60700.0,80536.0,39365.0,330.0,2672.0,89.0,117.0,15072.0,1501.0,508.0,11385.0,22.0,31.0,7565.0,73.0
lubartowski,60800.0,72021.0,35097.0,376.0,2140.0,81.0,98.0,11346.0,1765.0,439.0,11719.0,18.0,37.0,7018.0,60.0
lubelski,60900.0,106799.0,50638.0,499.0,2325.0,66.0,81.0,19659.0,2428.0,614.0,16277.0,17.0,24.0,8591.0,57.0
łęczyński,61000.0,43620.0,19838.0,229.0,1278.0,22.0,54.0,7627.0,564.0,313.0,5587.0,7.0,20.0,4095.0,42.0
łukowski,61100.0,83944.0,41285.0,375.0,2357.0,44.0,108.0,13719.0,1836.0,371.0,15235.0,28.0,30.0,7130.0,52.0
opolski,61200.0,51144.0,22916.0,181.0,1570.0,55.0,44.0,6277.0,1242.0,221.0,9414.0,239.0,13.0,3622.0,38.0
parczewski,61300.0,29855.0,13978.0,119.0,997.0,52.0,37.0,4649.0,736.0,104.0,4723.0,14.0,6.0,2521.0,20.0
puławski,61400.0,95477.0,47716.0,505.0,3859.0,84.0,90.0,17766.0,1326.0,768.0,9829.0,25.0,34.0,13366.0,64.0
radzyński,61500.0,49028.0,24594.0,197.0,1383.0,56.0,41.0,8432.0,1627.0,261.0,8589.0,7.0,12.0,3935.0,54.0
rycki,61600.0,48047.0,23559.0,296.0,2327.0,78.0,48.0,6701.0,1141.0,272.0,7901.0,10.0,35.0,4711.0,39.0
świdnicki,61700.0,58652.0,28392.0,417.0,2496.0,79.0,66.0,11051.0,767.0,539.0,5178.0,177.0,19.0,7525.0,78.0
tomaszowski,61800.0,72357.0,32543.0,210.0,1794.0,67.0,74.0,9720.0,1660.0,315.0,12876.0,25.0,21.0,5734.0,47.0
włodawski,61900.0,33485.0,15151.0,140.0,1272.0,28.0,35.0,4361.0,575.0,178.0,5013.0,7.0,16.0,3495.0,31.0
zamojski,62000.0,87724.0,39441.0,252.0,1667.0,67.0,96.0,15786.0,1881.0,349.0,13976.0,28.0,18.0,5276.0,45.0
Biała Podlaska,66101.0,44958.0,23424.0,389.0,2858.0,38.0,51.0,9166.0,409.0,383.0,3113.0,18.0,15.0,6937.0,47.0
Chełm,66201.0,55872.0,26228.0,326.0,3239.0,45.0,80.0,9804.0,365.0,414.0,3461.0,13.0,13.0,8425.0,43.0
Lublin,66301.0,281398.0,160941.0,2286.0,17831.0,336.0,289.0,67688.0,1720.0,3602.0,9595.0,61.0,86.0,57290.0,157.0
Zamość,66401.0,53948.0,25997.0,316.0,3215.0,40.0,63.0,11292.0,438.0,483.0,2826.0,21.0,16.0,7250.0,37.0
gorzowski,80100.0,49669.0,21671.0,333.0,2486.0,21.0,68.0,5837.0,270.0,203.0,4424.0,14.0,22.0,7951.0,42.0
krośnieński,80200.0,45019.0,18374.0,262.0,2612.0,19.0,54.0,3720.0,193.0,235.0,3578.0,21.0,11.0,7620.0,49.0
międzyrzecki,80300.0,47219.0,20399.0,394.0,3003.0,25.0,69.0,4482.0,325.0,250.0,3950.0,12.0,9.0,7826.0,54.0
nowosolski,80400.0,68983.0,31468.0,448.0,3870.0,39.0,77.0,8166.0,443.0,395.0,5801.0,18.0,21.0,12123.0,67.0
słubicki,80500.0,36160.0,15600.0,281.0,1987.0,13.0,41.0,3337.0,205.0,148.0,2750.0,7.0,11.0,6783.0,37.0
strzelecko-drezdenecki,80600.0,39961.0,16109.0,235.0,2036.0,11.0,31.0,3470.0,324.0,140.0,3936.0,7.0,7.0,5878.0,34.0
sulęciński,80700.0,28042.0,11625.0,197.0,1249.0,9.0,29.0,2860.0,243.0,174.0,2672.0,7.0,13.0,4141.0,31.0
świebodziński,80800.0,43883.0,19248.0,372.0,2456.0,16.0,51.0,4821.0,264.0,258.0,2862.0,17.0,10.0,8082.0,39.0
zielonogórski,80900.0,68675.0,30469.0,553.0,3755.0,49.0,104.0,7126.0,383.0,429.0,4749.0,28.0,23.0,13205.0,65.0
żagański,81000.0,66039.0,26659.0,419.0,3754.0,32.0,77.0,5928.0,425.0,346.0,5066.0,20.0,14.0,10525.0,53.0
żarski,81100.0,79063.0,31616.0,467.0,3848.0,35.0,98.0,7280.0,360.0,401.0,5266.0,25.0,24.0,13746.0,66.0
wschowski,81200.0,29725.0,13490.0,227.0,1427.0,12.0,57.0,3421.0,252.0,165.0,3245.0,12.0,12.0,4615.0,45.0
Gorzów Wielkopolski,86101.0,99767.0,50993.0,897.0,7469.0,55.0,91.0,16126.0,272.0,744.0,4460.0,44.0,23.0,20758.0,54.0
Zielona Góra,86201.0,94068.0,51720.0,1182.0,9092.0,46.0,91.0,13261.0,306.0,949.0,3244.0,22.0,13.0,23442.0,72.0
bełchatowski,100100.0,88803.0,43734.0,614.0,4301.0,82.0,109.0,16343.0,823.0,698.0,10607.0,47.0,39.0,10005.0,66.0
kutnowski,100200.0,86393.0,38295.0,458.0,4439.0,72.0,79.0,11129.0,1113.0,508.0,11417.0,18.0,13.0,8967.0,82.0
łaski,100300.0,40690.0,18353.0,216.0,1954.0,34.0,44.0,5553.0,619.0,335.0,5387.0,5.0,15.0,4164.0,27.0
łęczycki,100400.0,44354.0,18735.0,145.0,1603.0,42.0,33.0,4777.0,746.0,190.0,7141.0,5.0,9.0,4006.0,38.0
łowicki,100500.0,66876.0,30335.0,303.0,2817.0,53.0,74.0,9670.0,1713.0,342.0,8111.0,16.0,26.0,7159.0,51.0
łódzki wschodni,100600.0,50818.0,25599.0,335.0,2097.0,34.0,43.0,9701.0,550.0,497.0,4930.0,23.0,13.0,7341.0,35.0
opoczyński,100700.0,62119.0,31686.0,262.0,2124.0,50.0,97.0,10247.0,1313.0,316.0,11822.0,17.0,27.0,5369.0,42.0
pabianicki,100800.0,97427.0,49313.0,844.0,5873.0,73.0,88.0,17036.0,742.0,1130.0,5990.0,19.0,34.0,17414.0,70.0
pajęczański,100900.0,42567.0,18321.0,195.0,1551.0,43.0,42.0,5648.0,547.0,221.0,6704.0,14.0,15.0,3308.0,33.0
piotrkowski,101000.0,70611.0,33397.0,295.0,1690.0,59.0,80.0,10817.0,1528.0,321.0,13356.0,11.0,12.0,5172.0,56.0
poddębicki,101100.0,34505.0,14905.0,126.0,1262.0,21.0,24.0,3557.0,764.0,130.0,6330.0,6.0,8.0,2636.0,41.0
radomszczański,101200.0,95418.0,42091.0,535.0,3944.0,85.0,119.0,12653.0,1178.0,545.0,13203.0,21.0,21.0,9705.0,82.0
rawski,101300.0,39791.0,17101.0,177.0,1396.0,35.0,29.0,4929.0,801.0,179.0,6209.0,13.0,26.0,3273.0,34.0
sieradzki,101400.0,97314.0,46879.0,550.0,4801.0,70.0,134.0,13231.0,1815.0,521.0,15474.0,20.0,25.0,10148.0,90.0
skierniewicki,101500.0,29901.0,14156.0,101.0,724.0,21.0,26.0,4342.0,1038.0,125.0,5714.0,9.0,9.0,2028.0,19.0
tomaszowski,101600.0,97903.0,47915.0,602.0,5078.0,91.0,102.0,15703.0,1421.0,665.0,11197.0,39.0,34.0,12934.0,49.0
wieluński,101700.0,62578.0,29388.0,362.0,3088.0,42.0,67.0,8274.0,1333.0,383.0,8582.0,17.0,14.0,7169.0,57.0
wieruszowski,101800.0,33382.0,15376.0,153.0,1277.0,20.0,57.0,4174.0,747.0,160.0,5186.0,7.0,12.0,3558.0,25.0
zduńskowolski,101900.0,53888.0,26024.0,356.0,2886.0,55.0,59.0,8773.0,551.0,444.0,5038.0,12.0,17.0,7793.0,40.0
zgierski,102000.0,129817.0,62221.0,936.0,7542.0,116.0,126.0,20583.0,980.0,1067.0,10489.0,39.0,39.0,20203.0,101.0
brzeziński,102100.0,24487.0,11512.0,134.0,933.0,15.0,18.0,3754.0,494.0,152.0,3672.0,10.0,9.0,2295.0,26.0
Łódź,106101.0,626835.0,335147.0,6066.0,54798.0,562.0,502.0,101266.0,2361.0,7877.0,23354.0,221.0,183.0,137173.0,784.0
Piotrków Trybunalski,106201.0,64150.0,34157.0,465.0,4753.0,61.0,94.0,12420.0,335.0,579.0,4551.0,23.0,25.0,10794.0,57.0
Skierniewice,106301.0,38628.0,19989.0,315.0,3176.0,47.0,60.0,6386.0,341.0,416.0,2082.0,20.0,12.0,7107.0,27.0
bocheński,120100.0,76126.0,40203.0,336.0,2080.0,26.0,65.0,19694.0,922.0,458.0,5396.0,22.0,23.0,11141.0,40.0
brzeski,120200.0,68281.0,34750.0,267.0,1478.0,42.0,59.0,17520.0,732.0,360.0,4484.0,21.0,16.0,9733.0,38.0
chrzanowski,120300.0,103995.0,51611.0,669.0,6818.0,56.0,137.0,16908.0,445.0,836.0,5910.0,16.0,35.0,19686.0,95.0
dąbrowski,120400.0,45472.0,21009.0,163.0,750.0,14.0,32.0,10808.0,1010.0,168.0,4640.0,12.0,6.0,3376.0,30.0
gorlicki,120500.0,83601.0,40262.0,291.0,2529.0,44.0,104.0,17849.0,956.0,510.0,7373.0,28.0,17.0,10500.0,61.0
krakowski,120600.0,187976.0,94746.0,832.0,4890.0,88.0,167.0,40244.0,1576.0,1442.0,11536.0,42.0,42.0,33777.0,110.0
limanowski,120700.0,89029.0,45805.0,291.0,1647.0,41.0,113.0,25930.0,965.0,367.0,6151.0,21.0,23.0,10211.0,45.0
miechowski ,120800.0,41442.0,16751.0,132.0,1416.0,23.0,30.0,4457.0,769.0,178.0,6392.0,14.0,9.0,3298.0,33.0
myślenicki,120900.0,86532.0,45171.0,301.0,1772.0,46.0,78.0,23014.0,609.0,653.0,4987.0,25.0,20.0,13607.0,59.0
nowosądecki,121000.0,145498.0,79212.0,475.0,2789.0,65.0,166.0,45810.0,1472.0,619.0,10213.0,47.0,42.0,17424.0,90.0
nowotarski,121100.0,136466.0,65399.0,437.0,2196.0,83.0,150.0,31575.0,753.0,634.0,6776.0,39.0,25.0,22660.0,71.0
olkuski,121200.0,92832.0,44169.0,576.0,5185.0,54.0,110.0,14455.0,671.0,799.0,8820.0,23.0,15.0,13376.0,85.0
